country_id	country_name	country_name_url_encoded	city_id	city_name	city_name_url_encoded	city_url_full	city_url	country_url_full	country_url	city_name_to_lower	country_name_to_lower	country_code	name	asciiname	admin1_code	admin2_code	population	lat	lng
5	Algeria	Algeria	57	Khenchela	Khenchela	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Khenchela	city_result.jsp?country=Algeria&city=Khenchela	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria	khenchela	algeria	DZ	Khenchela	Khenchela	47		117000	35.43583	7.14333
5	Algeria	Algeria	58	Laghouat	Laghouat	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Laghouat	city_result.jsp?country=Algeria&city=Laghouat	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria	laghouat	algeria	DZ	Laghouat	Laghouat	25		113872	33.8	2.86514
5	Algeria	Algeria	59	Medea	Medea	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Medea	city_result.jsp?country=Algeria&city=Medea	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria	medea	algeria	DZ	Médéa	Medea	06		147707	36.26417	2.75393
5	Algeria	Algeria	60	Mostaganem	Mostaganem	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Mostaganem	city_result.jsp?country=Algeria&city=Mostaganem	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria	mostaganem	algeria	DZ	Mostaganem	Mostaganem	07		130000	35.93115	0.08918
5	Algeria	Algeria	61	Oran	Oran	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Oran	city_result.jsp?country=Algeria&city=Oran	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria	oran	algeria	DZ	Oran	Oran	09		645984	35.69906	-0.63588
5	Algeria	Algeria	62	Relizane	Relizane	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Relizane	city_result.jsp?country=Algeria&city=Relizane	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria	relizane	algeria	DZ	Relizane	Relizane	51		130094	35.73734	0.55599
5	Algeria	Algeria	63	Setif	Setif	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Setif	city_result.jsp?country=Algeria&city=Setif	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria	setif	algeria	DZ	Sétif	Setif	12		288461	36.19112	5.41373
5	Algeria	Algeria	64	Sidi Bel Abbes	Sidi%20Bel%20Abbes	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Sidi%20Bel%20Abbes	city_result.jsp?country=Algeria&city=Sidi%20Bel%20Abbes	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria	sidi bel abbes	algeria	DZ	Sidi Bel Abbes	Sidi Bel Abbes	30		191769	35.18994	-0.63085
5	Algeria	Algeria	65	Skikda	Skikda	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Skikda	city_result.jsp?country=Algeria&city=Skikda	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria	skikda	algeria	DZ	Skikda	Skikda	31		162702	36.87617	6.90921
5	Algeria	Algeria	66	Souk Ahras	Souk%20Ahras	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Souk%20Ahras	city_result.jsp?country=Algeria&city=Souk%20Ahras	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria	souk ahras	algeria	DZ	Souk Ahras	Souk Ahras	52		156745	36.28639	7.95111
5	Algeria	Algeria	67	Tebessa	Tebessa	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Tebessa	city_result.jsp?country=Algeria&city=Tebessa	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria	tebessa	algeria	DZ	Tébessa	Tebessa	33		634332	35.40417	8.12417
5	Algeria	Algeria	68	Tiaret	Tiaret	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Tiaret	city_result.jsp?country=Algeria&city=Tiaret	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria	tiaret	algeria	DZ	Tiaret	Tiaret	13		178915	35.37103	1.31699
5	Algeria	Algeria	69	Tindouf	Tindouf	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Tindouf	city_result.jsp?country=Algeria&city=Tindouf	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria	tindouf	algeria	DZ	Tindouf	Tindouf	54		45966	27.67111	-8.14743
