country_id	city_name	city_name_url_encoded	city_url_full	city_url	city_id	country_name	country_name_url_encoded	country_url_full	country_url_part
5	Annaba	Annaba	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Annaba	city_result.jsp?country=Algeria&city=Annaba	43	Algeria	Algeria	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria
5	Batna	Batna	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Batna	city_result.jsp?country=Algeria&city=Batna	44	Algeria	Algeria	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria
5	Bechar	Bechar	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Bechar	city_result.jsp?country=Algeria&city=Bechar	45	Algeria	Algeria	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria
5	Bejaia	Bejaia	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Bejaia	city_result.jsp?country=Algeria&city=Bejaia	46	Algeria	Algeria	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria
5	Biskra	Biskra	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Biskra	city_result.jsp?country=Algeria&city=Biskra	47	Algeria	Algeria	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria
5	Blida	Blida	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Blida	city_result.jsp?country=Algeria&city=Blida	48	Algeria	Algeria	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria
5	Bordj Bou Arreridj	Bordj%20Bou%20Arreridj	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Bordj%20Bou%20Arreridj	city_result.jsp?country=Algeria&city=Bordj%20Bou%20Arreridj	49	Algeria	Algeria	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria
5	Bouira	Bouira	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Bouira	city_result.jsp?country=Algeria&city=Bouira	50	Algeria	Algeria	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria
5	Boumerdes	Boumerdes	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Boumerdes	city_result.jsp?country=Algeria&city=Boumerdes	51	Algeria	Algeria	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria
5	Collo	Collo	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Collo	city_result.jsp?country=Algeria&city=Collo	52	Algeria	Algeria	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria
5	Constantine	Constantine	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Constantine	city_result.jsp?country=Algeria&city=Constantine	53	Algeria	Algeria	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria
5	Djelfa	Djelfa	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Djelfa	city_result.jsp?country=Algeria&city=Djelfa	54	Algeria	Algeria	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria
5	Djemila	Djemila	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Djemila	city_result.jsp?country=Algeria&city=Djemila	55	Algeria	Algeria	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria
5	El Bayadh	El%20Bayadh	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=El%20Bayadh	city_result.jsp?country=Algeria&city=El%20Bayadh	56	Algeria	Algeria	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria
5	El Oued	El%20Oued	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=El%20Oued	city_result.jsp?country=Algeria&city=El%20Oued	57	Algeria	Algeria	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria
5	Ghardaia	Ghardaia	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Ghardaia	city_result.jsp?country=Algeria&city=Ghardaia	58	Algeria	Algeria	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria
5	Guelma	Guelma	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Guelma	city_result.jsp?country=Algeria&city=Guelma	59	Algeria	Algeria	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria
5	Jijel	Jijel	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Jijel	city_result.jsp?country=Algeria&city=Jijel	60	Algeria	Algeria	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria
5	Khenchela	Khenchela	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Khenchela	city_result.jsp?country=Algeria&city=Khenchela	61	Algeria	Algeria	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria
5	Laghouat	Laghouat	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Laghouat	city_result.jsp?country=Algeria&city=Laghouat	62	Algeria	Algeria	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria
5	M'Sila	M%27Sila	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=M%27Sila	city_result.jsp?country=Algeria&city=M%27Sila	63	Algeria	Algeria	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria
5	Mascara	Mascara	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Mascara	city_result.jsp?country=Algeria&city=Mascara	64	Algeria	Algeria	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria
5	Medea	Medea	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Medea	city_result.jsp?country=Algeria&city=Medea	65	Algeria	Algeria	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria
5	Mostaganem	Mostaganem	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Mostaganem	city_result.jsp?country=Algeria&city=Mostaganem	66	Algeria	Algeria	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria
5	Oran	Oran	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Oran	city_result.jsp?country=Algeria&city=Oran	67	Algeria	Algeria	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria
5	Relizane	Relizane	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Relizane	city_result.jsp?country=Algeria&city=Relizane	68	Algeria	Algeria	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria
5	Setif	Setif	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Setif	city_result.jsp?country=Algeria&city=Setif	69	Algeria	Algeria	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria
5	Sidi Bel Abbes	Sidi%20Bel%20Abbes	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Algeria&city=Sidi%20Bel%20Abbes	city_result.jsp?country=Algeria&city=Sidi%20Bel%20Abbes	70	Algeria	Algeria	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Algeria	country_result.jsp?country=Algeria
