country_id	city_id	country_name	city_name	city_name_url_encoded	country_name_url_encoded	city_url_full	city_url	country_url_full	country_url_part
147	3825	Netherlands	Utrecht	Utrecht	Utrecht	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Netherlands&city=Utrecht	city_result.jsp?country=Netherlands&city=Utrecht	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Netherlands	country_result.jsp?country=Netherlands
102	2722	Israel	Jerusalem	Jerusalem	Jerusalem	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Israel&city=Jerusalem	city_result.jsp?country=Israel&city=Jerusalem	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Israel	country_result.jsp?country=Israel
100	2670	Ireland	Galway	Galway	Galway	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Ireland&city=Galway	city_result.jsp?country=Ireland&city=Galway	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Ireland	country_result.jsp?country=Ireland
103	2880	Italy	Milan	Milan	Milan	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Italy&city=Milan	city_result.jsp?country=Italy&city=Milan	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Italy	country_result.jsp?country=Italy
116	3237	Lebanon	Beirut	Beirut	Beirut	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Lebanon&city=Beirut	city_result.jsp?country=Lebanon&city=Beirut	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Lebanon	country_result.jsp?country=Lebanon
222	6665	United States	Jersey City, NJ	Jersey%20City%2C%20NJ	Jersey%20City%2C%20NJ	https://www.numbeo.com/cost-of-living/city_result.jsp?country=United%20States&city=Jersey%20City%2C%20NJ	city_result.jsp?country=United%20States&city=Jersey%20City%2C%20NJ	https://www.numbeo.com/cost-of-living/country_result.jsp?country=United%20States	country_result.jsp?country=United%20States
14	217	Australia	Gold Coast	Gold%20Coast	Gold%20Coast	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Australia&city=Gold%20Coast	city_result.jsp?country=Australia&city=Gold%20Coast	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Australia	country_result.jsp?country=Australia
147	3783	Netherlands	Breda	Breda	Breda	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Netherlands&city=Breda	city_result.jsp?country=Netherlands&city=Breda	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Netherlands	country_result.jsp?country=Netherlands
222	6173	United States	Bend, OR	Bend%2C%20OR	Bend%2C%20OR	https://www.numbeo.com/cost-of-living/city_result.jsp?country=United%20States&city=Bend%2C%20OR	city_result.jsp?country=United%20States&city=Bend%2C%20OR	https://www.numbeo.com/cost-of-living/country_result.jsp?country=United%20States	country_result.jsp?country=United%20States
147	3791	Netherlands	Eindhoven	Eindhoven	Eindhoven	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Netherlands&city=Eindhoven	city_result.jsp?country=Netherlands&city=Eindhoven	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Netherlands	country_result.jsp?country=Netherlands
222	6859	United States	Minneapolis, MN	Minneapolis%2C%20MN	Minneapolis%2C%20MN	https://www.numbeo.com/cost-of-living/city_result.jsp?country=United%20States&city=Minneapolis%2C%20MN	city_result.jsp?country=United%20States&city=Minneapolis%2C%20MN	https://www.numbeo.com/cost-of-living/country_result.jsp?country=United%20States	country_result.jsp?country=United%20States
14	242	Australia	Melbourne	Melbourne	Melbourne	https://www.numbeo.com/cost-of-living/city_result.jsp?country=Australia&city=Melbourne	city_result.jsp?country=Australia&city=Melbourne	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Australia	country_result.jsp?country=Australia
71	1768	France	Lyon	Lyon	Lyon	https://www.numbeo.com/cost-of-living/city_result.jsp?country=France&city=Lyon	city_result.jsp?country=France&city=Lyon	https://www.numbeo.com/cost-of-living/country_result.jsp?country=France	country_result.jsp?country=France
