country_id	country_name	country_name_url_encoded	country_url_full	country_url_part
104	Ivory Coast	Ivory%20Coast	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Ivory%20Coast	country_result.jsp?country=Ivory%20Coast
105	Jamaica	Jamaica	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Jamaica	country_result.jsp?country=Jamaica
106	Japan	Japan	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Japan	country_result.jsp?country=Japan
107	Jersey	Jersey	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Jersey	country_result.jsp?country=Jersey
108	Jordan	Jordan	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Jordan	country_result.jsp?country=Jordan
109	Kazakhstan	Kazakhstan	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Kazakhstan	country_result.jsp?country=Kazakhstan
110	Kenya	Kenya	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Kenya	country_result.jsp?country=Kenya
111	Kosovo (Disputed Territory)	Kosovo%20%28Disputed%20Territory%29	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Kosovo%20%28Disputed%20Territory%29	country_result.jsp?country=Kosovo%20%28Disputed%20Territory%29
112	Kuwait	Kuwait	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Kuwait	country_result.jsp?country=Kuwait
113	Kyrgyzstan	Kyrgyzstan	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Kyrgyzstan	country_result.jsp?country=Kyrgyzstan
114	Laos	Laos	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Laos	country_result.jsp?country=Laos
115	Latvia	Latvia	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Latvia	country_result.jsp?country=Latvia
116	Lebanon	Lebanon	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Lebanon	country_result.jsp?country=Lebanon
117	Lesotho	Lesotho	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Lesotho	country_result.jsp?country=Lesotho
118	Liberia	Liberia	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Liberia	country_result.jsp?country=Liberia
119	Libya	Libya	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Libya	country_result.jsp?country=Libya
120	Liechtenstein	Liechtenstein	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Liechtenstein	country_result.jsp?country=Liechtenstein
121	Lithuania	Lithuania	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Lithuania	country_result.jsp?country=Lithuania
122	Luxembourg	Luxembourg	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Luxembourg	country_result.jsp?country=Luxembourg
123	Macao	Macao	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Macao	country_result.jsp?country=Macao
124	Madagascar	Madagascar	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Madagascar	country_result.jsp?country=Madagascar
125	Malawi	Malawi	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Malawi	country_result.jsp?country=Malawi
126	Malaysia	Malaysia	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Malaysia	country_result.jsp?country=Malaysia
127	Maldives	Maldives	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Maldives	country_result.jsp?country=Maldives
128	Mali	Mali	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Mali	country_result.jsp?country=Mali
129	Malta	Malta	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Malta	country_result.jsp?country=Malta
130	Marshall Islands	Marshall%20Islands	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Marshall%20Islands	country_result.jsp?country=Marshall%20Islands
131	Martinique	Martinique	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Martinique	country_result.jsp?country=Martinique
132	Mauritania	Mauritania	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Mauritania	country_result.jsp?country=Mauritania
133	Mauritius	Mauritius	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Mauritius	country_result.jsp?country=Mauritius
134	Mayotte	Mayotte	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Mayotte	country_result.jsp?country=Mayotte
135	Mexico	Mexico	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Mexico	country_result.jsp?country=Mexico
136	Micronesia	Micronesia	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Micronesia	country_result.jsp?country=Micronesia
137	Moldova	Moldova	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Moldova	country_result.jsp?country=Moldova
138	Monaco	Monaco	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Monaco	country_result.jsp?country=Monaco
139	Mongolia	Mongolia	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Mongolia	country_result.jsp?country=Mongolia
140	Montenegro	Montenegro	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Montenegro	country_result.jsp?country=Montenegro
141	Montserrat	Montserrat	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Montserrat	country_result.jsp?country=Montserrat
142	Morocco	Morocco	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Morocco	country_result.jsp?country=Morocco
143	Mozambique	Mozambique	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Mozambique	country_result.jsp?country=Mozambique
144	Myanmar	Myanmar	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Myanmar	country_result.jsp?country=Myanmar
145	Namibia	Namibia	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Namibia	country_result.jsp?country=Namibia
146	Nepal	Nepal	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Nepal	country_result.jsp?country=Nepal
147	Netherlands	Netherlands	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Netherlands	country_result.jsp?country=Netherlands
148	New Caledonia	New%20Caledonia	https://www.numbeo.com/cost-of-living/country_result.jsp?country=New%20Caledonia	country_result.jsp?country=New%20Caledonia
149	New Zealand	New%20Zealand	https://www.numbeo.com/cost-of-living/country_result.jsp?country=New%20Zealand	country_result.jsp?country=New%20Zealand
150	Nicaragua	Nicaragua	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Nicaragua	country_result.jsp?country=Nicaragua
151	Niger	Niger	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Niger	country_result.jsp?country=Niger
152	Nigeria	Nigeria	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Nigeria	country_result.jsp?country=Nigeria
153	Norfolk Island	Norfolk%20Island	https://www.numbeo.com/cost-of-living/country_result.jsp?country=Norfolk%20Island	country_result.jsp?country=Norfolk%20Island
